date,processed_text,sentiment_score,message_frequency,message_length,average_message_length,word_count
5/10/2010,"enronoptions announcement updated enronoptions =01 ) stock option program web site ! = the=20 web site contains specific detail enronoptions program includin= g=20 december 29 , 2000 grant price additional information employee=20 eligibility . access enronoptions =01 ) stock option program web site clicking on= =20 http : //hrweb.enron.com typing address web browser . hope find revised site helpful addressing question abou= t=20 enronoptions program . additional question , please=20 contact h.r . representative . stay tuned information throughout march april 2001 .",1,4,571.0,142.75,83.0
7/29/2010,"marc , unfortunately , today going work revenue model mid & back office service meeting . coming monday , feb 26 1:00 - 2:30 pm ? penciled time sally , mary solmonson & james scribner . please let know work . thanks , patti x39106",1,5,230.0,46.0,45.0
7/25/2011,": wednesday , june 06 , 2001 10:00 am-11:00 ( gmt-06:00 ) central time ( u & canada ) . : @ 10:00am cst ( 225 ) 931-8111 * ~ * ~ * ~ * ~ * ~ * ~ * ~ * ~ * ~ *",0,2,158.0,79.0,47.0
3/25/2010,thinking papasitos ( meet somewhere closer time ) around 8 jason bass < jbass @ stdauto.com > 02/21/2001 11:22:45,0,3,113.0,37.666666666666664,19.0
5/21/2011,"since never gave $ 20 last time bet cu/texas , figured would give chance go double nothing second round . think line texas -9. let know .",1,6,137.0,22.833333333333332,27.0
10/23/2011,"sure , call bank delivers . probably around 6:30-7 need bring anything ? -e",1,4,75.0,18.75,14.0
4/5/2010,"inventory summary mgl mgmcc may 31 , 2000 posted smgcapital mgl inventory.xls mgmcc inventory.xls",0,5,97.0,19.4,14.0
4/21/2010,please print attachment make sure e : mail address included student . call ted problem . thanks . need send invitation student ted ( plus enron folk ) tour enron field dinner january 31. let 's talk arranging detail . thanks .,1,5,226.0,45.2,42.0
2/7/2010,"please advise interest garvin 's experience . thanks , johnny",1,4,61.0,15.25,10.0
2/6/2010,"start time tuesday morning changed 9am 8am . breakfast served 7:30. therefore , shuttle pick time hotel tuesday morning changed 7:10 , 7:25 , 7:40 . , last shuttle recommended intend breakfast ase . asked coordinated dinner sunday night . since arrival time dallas vary greatly , leaving device sunday night . however , planning group dinner monday night wrap day . arrange transportation ase restaurant restaurant back hotel . currently , monday 's agenda show completion time 6:30pm . therefore , planning head dinner directly ase without break trip back hotel .",1,3,564.0,188.0,93.0
2/13/2010,"date : thursday , february 7th , 2002 location : orientation split two session divided alpha-order . session run 10am-12 pm 2pm- 4 pm . encourage attend designated session valuable information presented , opportunity get answer question . speed thing tomorrow filing attached form - alternatively complete 10am session letter a- k 2pm session letter l-z please reply e-mail attending . regard , neil davy",1,5,404.0,80.8,65.0
